activity,superclass,class,step,organ,mechanism,keywords
Caffeine Intake,Chemical Stimulation,Caffeine Intake,1,mouth and stomach,The caffeine intake stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"coffee, espresso, tea, energy drink"
Caffeine Intake,Chemical Stimulation,Caffeine Intake,2,small intestine,"Components of the caffeine intake pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","coffee, espresso, tea, energy drink"
Caffeine Intake,Chemical Stimulation,Caffeine Intake,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","coffee, espresso, tea, energy drink"
Caffeine Intake,Chemical Stimulation,Caffeine Intake,4,target organ,"In key target organs, the main physiological effect occurs: Caffeine blocks adenosine receptors, stimulating the central nervous system and increasing alertness.","coffee, espresso, tea, energy drink"
Caffeine Intake,Chemical Stimulation,Caffeine Intake,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","coffee, espresso, tea, energy drink"
Caffeine Intake,Chemical Stimulation,Caffeine Intake,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","coffee, espresso, tea, energy drink"
Alcohol Consumption,Chemical Stimulation,Alcohol Consumption,1,mouth and stomach,The alcohol consumption stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"beer, wine, liquor, cocktail"
Alcohol Consumption,Chemical Stimulation,Alcohol Consumption,2,small intestine,"Components of the alcohol consumption pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","beer, wine, liquor, cocktail"
Alcohol Consumption,Chemical Stimulation,Alcohol Consumption,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","beer, wine, liquor, cocktail"
Alcohol Consumption,Chemical Stimulation,Alcohol Consumption,4,target organ,"In key target organs, the main physiological effect occurs: Alcohol depresses the central nervous system and dilates blood vessels, affecting liver metabolism.","beer, wine, liquor, cocktail"
Alcohol Consumption,Chemical Stimulation,Alcohol Consumption,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","beer, wine, liquor, cocktail"
Alcohol Consumption,Chemical Stimulation,Alcohol Consumption,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","beer, wine, liquor, cocktail"
Sugar Intake,Chemical Stimulation,Sugar Intake,1,mouth and stomach,The sugar intake stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"sweets, candy, soda, dessert"
Sugar Intake,Chemical Stimulation,Sugar Intake,2,small intestine,"Components of the sugar intake pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","sweets, candy, soda, dessert"
Sugar Intake,Chemical Stimulation,Sugar Intake,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","sweets, candy, soda, dessert"
Sugar Intake,Chemical Stimulation,Sugar Intake,4,target organ,"In key target organs, the main physiological effect occurs: High sugar intake triggers insulin release and promotes energy storage.","sweets, candy, soda, dessert"
Sugar Intake,Chemical Stimulation,Sugar Intake,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","sweets, candy, soda, dessert"
Sugar Intake,Chemical Stimulation,Sugar Intake,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","sweets, candy, soda, dessert"
